url_path,views_total,views_unique
/qzc438/academic-kickstart,16,1
/qzc438/academic-kickstart/tree/github-repo-stats/qzc438/academic-kickstart,8,1
/qzc438/academic-kickstart/tree/github-repo-stats,6,1
/qzc438/academic-kickstart/branches,5,1
/qzc438/academic-kickstart/tree/github-repo-stats/qzc438/academic-kickstart/ghrs-data,4,1
/qzc438/academic-kickstart/actions,3,1
/qzc438/academic-kickstart/actions/workflows/github-repo-stats.yml,3,1
/qzc438/academic-kickstart/blob/github-repo-stats/qzc438/academic-kickstart/ghrs-data/snapshots/2022-09-02_230310_top_paths_snapshot.csv,3,1
/qzc438/academic-kickstart/tree/github-repo-stats/qzc438/academic-kickstart/ghrs-data/snapshots,3,1
/qzc438/academic-kickstart/actions/runs/2980131779,2,1
